id,upacc,kingdom,phylum,class,order,family,genus,species
A0A4R5DLU7,A0A4R5DLU7,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter psychrotolerans
A0A5J6SLT5,A0A5J6SLT5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Psychrobacillus,Psychrobacillus glaciei
A0A7Y5UA06,A0A7Y5UA06,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Polyangiaceae,,Polyangiaceae bacterium
D5BQF6,D5BQF6,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Puniceispirillum,Candidatus Puniceispirillum marinum
A0A199NUS2,A0A199NUS2,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Micrococcaceae,Rothia,Rothia kristinae
A0A2N7UKB1,A0A2N7UKB1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas urumqiensis
A0A2N7UNK1,A0A2N7UNK1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas urumqiensis
A0A2N7UPV7,A0A2N7UPV7,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas urumqiensis
F2JVM8,F2JVM8,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas mediterranea
F2JVS3,F2JVS3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas mediterranea
U2T416,U2T416,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia aquatica (Corynebacterium aquaticum)
U2SY42,U2SY42,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia aquatica (Corynebacterium aquaticum)
A0A4U0ZX98,A0A4U0ZX98,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfocapsaceae,Desulforhopalus,Desulforhopalus sp. IMCC35007
A0A4U0ZVZ4,A0A4U0ZVZ4,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfocapsaceae,Desulforhopalus,Desulforhopalus sp. IMCC35007
K6X1U8,K6X1U8,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermatophilaceae,Kineosphaera,Kineosphaera limosa
K6WCE9,K6WCE9,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermatophilaceae,Kineosphaera,Kineosphaera limosa
K6WTU9,K6WTU9,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermatophilaceae,Kineosphaera,Kineosphaera limosa
K9WY44,K9WY44,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale
A0A7D5IA85,A0A7D5IA85,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. LPB0260
A0A1A8XUY3,A0A1A8XUY3,Bacteria,Proteobacteria,Betaproteobacteria,,,Candidatus Accumulibacter,Candidatus Accumulibacter aalborgensis
A0A1A8XFZ7,A0A1A8XFZ7,Bacteria,Proteobacteria,Betaproteobacteria,,,Candidatus Accumulibacter,Candidatus Accumulibacter aalborgensis
A0A1T1CNW0,A0A1T1CNW0,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Candidatus Synechococcus spongiarum
A0A6N7HU24,A0A6N7HU24,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,,Pseudonocardiaceae bacterium
A0A6P1ZI99,A0A6P1ZI99,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio marinus
A0A2W2ER36,A0A2W2ER36,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptosporangiales,Streptosporangiaceae,Spongiactinospora,Spongiactinospora gelatinilytica
A0A2W2H4Y9,A0A2W2H4Y9,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptosporangiales,Streptosporangiaceae,Spongiactinospora,Spongiactinospora gelatinilytica
A0A2W2H395,A0A2W2H395,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptosporangiales,Streptosporangiaceae,Spongiactinospora,Spongiactinospora gelatinilytica
A0A2W2HJ08,A0A2W2HJ08,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptosporangiales,Streptosporangiaceae,Spongiactinospora,Spongiactinospora gelatinilytica
A0A084H485,A0A084H485,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Metabacillus,Metabacillus indicus (Bacillus indicus)
A0A2N9VXV2,A0A2N9VXV2,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium zundukense
A0A2N9VZV8,A0A2N9VZV8,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium zundukense
A0A2N9VVG0,A0A2N9VVG0,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium zundukense
A0A1Y0KT74,A0A1Y0KT74,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. M30-35
A0A1Y0KTX5,A0A1Y0KTX5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. M30-35
A0A370CN37,A0A370CN37,Bacteria,Cyanobacteria,,Nostocales,Hapalosiphonaceae,Mastigocladus,Mastigocladus laminosus (Fischerella sp.)
A0A0Q7UDP0,A0A0Q7UDP0,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. Root53
A0A4Y8LU16,A0A4Y8LU16,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
A0A4Y8LTI8,A0A4Y8LTI8,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
A0A4Y8M6F2,A0A4Y8M6F2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
A0A4Y8LQN0,A0A4Y8LQN0,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
A0A4Y8M3P2,A0A4Y8M3P2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
A0A4Y8LVG3,A0A4Y8LVG3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
A0A4Y8M1H5,A0A4Y8M1H5,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella luojiensis
V4RLR3,V4RLR3,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Lutibaculum,Lutibaculum baratangense
V4RCV9,V4RCV9,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Lutibaculum,Lutibaculum baratangense
V4RBB8,V4RBB8,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Lutibaculum,Lutibaculum baratangense
V4RM33,V4RM33,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Lutibaculum,Lutibaculum baratangense
V4TJU4,V4TJU4,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Lutibaculum,Lutibaculum baratangense
V4QSB3,V4QSB3,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Lutibaculum,Lutibaculum baratangense
A0A259TZB6,A0A259TZB6,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus,Rubricoccus marinus
A0A259U3L9,A0A259U3L9,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus,Rubricoccus marinus
A0A259U327,A0A259U327,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus,Rubricoccus marinus
A0A1B4VG04,A0A1B4VG04,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1C7AFB5,A0A1C7AFB5,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1C7AF06,A0A1C7AF06,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1B4V8J0,A0A1B4V8J0,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1B4VBL4,A0A1B4VBL4,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1B4VG94,A0A1B4VG94,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1B4VGK1,A0A1B4VGK1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1B4V328,A0A1B4V328,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,Sulfurifustis variabilis
A0A1X1DAX8,A0A1X1DAX8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea wallisii
A0A3N7ETZ2,A0A3N7ETZ2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Paucibacter,Paucibacter sp. KBW04
A0A3N7BQ47,A0A3N7BQ47,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Paucibacter,Paucibacter sp. KBW04
A0A2A2FAT8,A0A2A2FAT8,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halovibrio,Halovibrio salipaludis
Q74E04,Q74E04,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter sulfurreducens
A0A328RGC6,A0A328RGC6,Bacteria,Candidatus Margulisbacteria,Candidatus Marinamargulisbacteria,,,,Candidatus Marinamargulisbacteria bacterium SCGC AG-343-D04
A0A328RCB1,A0A328RCB1,Bacteria,Candidatus Margulisbacteria,Candidatus Marinamargulisbacteria,,,,Candidatus Marinamargulisbacteria bacterium SCGC AG-343-D04
A0A6J5JVS9,A0A6J5JVS9,Bacteria,Proteobacteria,Gammaproteobacteria,,,Candidatus Azoamicus,Candidatus Azoamicus ciliaticola
A0A1Y5WZU5,A0A1Y5WZU5,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,Kibdelosporangium aridum
A0A1W2AMR6,A0A1W2AMR6,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,Kibdelosporangium aridum
A0A1Y5Y496,A0A1Y5Y496,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,Kibdelosporangium aridum
A0A1Y5XJI9,A0A1Y5XJI9,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,Kibdelosporangium aridum
A0A1Y5Y8F4,A0A1Y5Y8F4,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,Kibdelosporangium aridum
G8TDS3,G8TDS3,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella koreensis
A0A196QLK8,A0A196QLK8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter geojensis
A0A196Q286,A0A196Q286,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter geojensis
A0A2S5A6N4,A0A2S5A6N4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium alvei
A0A7Y6PVJ6,A0A7Y6PVJ6,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6PYC7,A0A7Y6PYC7,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6UKQ8,A0A7Y6UKQ8,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6PW19,A0A7Y6PW19,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6UFQ1,A0A7Y6UFQ1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6UGZ3,A0A7Y6UGZ3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6PN47,A0A7Y6PN47,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6PXT6,A0A7Y6PXT6,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6UHN3,A0A7Y6UHN3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6PSE0,A0A7Y6PSE0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6UCB4,A0A7Y6UCB4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
A0A7Y6UHL8,A0A7Y6UHL8,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Kofleriaceae,,Kofleriaceae bacterium
W5Y3R0,W5Y3R0,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis
W5Y028,W5Y028,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis
W5XY54,W5XY54,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis
A0A5C6TYW1,A0A5C6TYW1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Piscinibacter,Piscinibacter aquaticus
A0A5C6U5P7,A0A5C6U5P7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Piscinibacter,Piscinibacter aquaticus
A0A5C6U524,A0A5C6U524,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Piscinibacter,Piscinibacter aquaticus
A0A0U5BHJ7,A0A0U5BHJ7,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus soli
A0A0U5B0E5,A0A0U5B0E5,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus soli
A0A1W9ZWN7,A0A1W9ZWN7,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium angelicum
A0A1W9ZL63,A0A1W9ZL63,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium angelicum
A0A1W9ZHR0,A0A1W9ZHR0,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium angelicum
A0A2T5MEE2,A0A2T5MEE2,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Stenotrophobium,Stenotrophobium rhamnosiphilum
A0A4R5KJA8,A0A4R5KJA8,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter terricola
A0A4R5KVH2,A0A4R5KVH2,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter terricola
A0A4V2ZTJ8,A0A4V2ZTJ8,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter terricola
A0A4R5K926,A0A4R5K926,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter terricola
R5N3A2,R5N3A2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium sp. CAG:180
A0A369ARM0,A0A369ARM0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Extensimonas,Extensimonas vulgaris
A0A369ALE8,A0A369ALE8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Extensimonas,Extensimonas vulgaris
D9XZR8,D9XZR8,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoflavus
D9XVD5,D9XVD5,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoflavus
D9XZR6,D9XZR6,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoflavus
A0A2D3WRY9,A0A2D3WRY9,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp. UBA12169
A0A2D3WT40,A0A2D3WT40,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp. UBA12169
A0A2T6FGR4,A0A2T6FGR4,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio sp. 79
A0A2T6FE09,A0A2T6FE09,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio sp. 79
A0A1G9J195,A0A1G9J195,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas muralis
A0A1G9MD40,A0A1G9MD40,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas muralis
A0A5C6MDH8,A0A5C6MDH8,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces bekefii
Q165X3,Q165X3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter denitrificans
Q16A17,Q16A17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter denitrificans
L8JRH6,L8JRH6,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Fulvivirga,Fulvivirga imtechensis
A0A5N1IK17,A0A5N1IK17,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter soli
A0A5N1ISU1,A0A5N1ISU1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter soli
A0A5N1ISU8,A0A5N1ISU8,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter soli
A0A5N1J5D8,A0A5N1J5D8,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter soli
A0A076H2Y6,A0A076H2Y6,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-100
A0A076H0I5,A0A076H0I5,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-100
A0A1X6X1S0,A0A1X6X1S0,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium nesterenkovii
A0A1X6WUM4,A0A1X6WUM4,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium nesterenkovii
A0A1X6WVB4,A0A1X6WVB4,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium nesterenkovii
A0A1X6WZ78,A0A1X6WZ78,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium nesterenkovii
A0A8G2FDZ3,A0A8G2FDZ3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium rubrum
A0A8G2CQ20,A0A8G2CQ20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium rubrum
A0A1V2SD23,A0A1V2SD23,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. VT-16-64
A0A1V2SJ72,A0A1V2SJ72,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. VT-16-64
L9PCH3,L9PCH3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. HH01
L9P9Q4,L9P9Q4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. HH01
L9PBR7,L9PBR7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. HH01
L9PCZ8,L9PCZ8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. HH01
L9PQN1,L9PQN1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. HH01
Q0VPT6,Q0VPT6,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis
Q0VLZ5,Q0VLZ5,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis
A0A220S0C4,A0A220S0C4,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria chenwenguii
